timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1723892732776,465,POST method Create User,200,OK,Load Configuration 1-42,text,true,,870,243,7,7,https://reqres.in/api/login,465,0,0
1723892733081,214,Get Single User,200,OK,Load Configuration 1-47,text,true,,1975,244,7,7,https://reqres.in/api/users/2,75,0,23
1723892733081,75,Get Single User-0,301,Moved Permanently,Load Configuration 1-47,text,true,,785,122,7,7,http://reqres.in/api/users/2,75,0,23
1723892733157,138,Get Single User-1,200,OK,Load Configuration 1-47,text,true,,1190,122,7,7,https://reqres.in/api/users/2,138,0,91
1723892733180,196,Get Single User,200,OK,Load Configuration 1-48,text,true,,1983,244,7,7,https://reqres.in/api/users/2,70,0,33
1723892733180,70,Get Single User-0,301,Moved Permanently,Load Configuration 1-48,text,true,,793,122,7,7,http://reqres.in/api/users/2,70,0,33
1723892733251,125,Get Single User-1,200,OK,Load Configuration 1-48,text,true,,1190,122,7,7,https://reqres.in/api/users/2,125,0,69
1723892733036,404,POST method Create User,200,OK,Load Configuration 1-43,text,true,,874,243,8,8,https://reqres.in/api/login,404,0,0
1723892733281,195,Get Single User,200,OK,Load Configuration 1-49,text,true,,1979,244,7,7,https://reqres.in/api/users/2,75,0,20
1723892733281,75,Get Single User-0,301,Moved Permanently,Load Configuration 1-49,text,true,,789,122,7,7,http://reqres.in/api/users/2,75,0,20
1723892733357,119,Get Single User-1,200,OK,Load Configuration 1-49,text,true,,1190,122,7,7,https://reqres.in/api/users/2,119,0,83
1723892733152,439,POST method Create User,200,OK,Load Configuration 1-44,text,true,,874,243,9,9,https://reqres.in/api/login,439,0,0
1723892733381,227,Get Single User,200,OK,Load Configuration 1-50,text,true,,1977,244,8,8,https://reqres.in/api/users/2,71,0,24
1723892733381,71,Get Single User-0,301,Moved Permanently,Load Configuration 1-50,text,true,,787,122,8,8,http://reqres.in/api/users/2,71,0,24
1723892733453,155,Get Single User-1,200,OK,Load Configuration 1-50,text,true,,1190,122,8,8,https://reqres.in/api/users/2,155,0,97
1723892733214,463,POST method Create User,200,OK,Load Configuration 1-45,text,true,,874,243,8,8,https://reqres.in/api/login,463,0,0
1723892733235,442,POST method Create User,200,OK,Load Configuration 1-46,text,true,,874,243,8,8,https://reqres.in/api/login,442,0,0
